Accession	case1	case2	case3	con1	con2	con3
CTSF	0.83629505	0.636742133	0.876381604	1.176847023	1.149290243	1.218939914
NPTN	0.905832116	0.6154562	0.808742019	1.180343297	1.173463058	1.244828551
SHISA5	0.464620278	0.569187066	0.564115533	0.810480377	1.189627589	0.985882027
BAT2L1	0.730873987	0.730873987	0.786960409	1.214009155	1.214009155	1.111080792
RERE	0.86250863	0.736907219	0.751930836	1.196057064	1.221419401	1.219277909
ACACA	0.726160214	0.426288829	0.715290619	1.150393251	1.261434123	1.231462743
HSPA4	0.891318783	0.633694645	0.704512944	1.115961805	1.271305912	1.188044838
H2AFY	0.825270268	0.716710374	0.762975986	1.155686099	1.296333712	1.314446773
KIAA1598	0.787222597	0.70840241	0.849060226	1.298342989	1.303623059	1.228561644
UBL3	0.806325072	0.806325072	0.916506961	1.330322191	1.330322191	1.577259898
ERMP1	0.756943983	0.724644319	0.587678577	1.338478601	1.367013362	1.534363684
TOM1L2	0.704823568	0.691632427	0.691632427	1.363544793	1.399847655	1.399847655
APPBP2	0.824413675	0.91782911	0.963746369	1.307056392	1.423089235	1.354985973
CTDSP1	0.673302513	0.62583816	0.685076141	1.407942583	1.436616065	1.329862014
AR	0.617049724	0.682146855	1.26333986	1.438641243	1.438641243	1.438641243
ADIPOR1	0.908436473	0.786143014	0.725335269	1.087868956	1.442471342	1.166074098
LOC100129034	0.89031907	0.89031907	0.91102975	1.455641678	1.455641678	1.298459432
HIST1H1C	0.668235907	0.713476279	0.777460748	1.499295079	1.481928537	1.343043903
ATP2A3	1.080763449	0.855666443	0.955268379	1.285668358	1.485050997	1.685502008
TAF7	0.747719054	0.746808181	0.732031308	1.438214365	1.486509234	1.379236141
TMEM87A	0.598378206	0.734950908	0.676213173	1.350311387	1.495821962	1.348543658
PTEN	0.751731045	0.5916686	0.5916686	1.23263381	1.515942033	1.515942033
FAH	0.874153906	0.760448386	0.79863333	1.240752698	1.52633603	1.264371984
RNPEP	1.025594022	0.698983725	0.80499591	1.266752592	1.530603654	1.153583792
TMEM127	0.961869883	0.81454827	0.846224133	1.431314019	1.5437295	1.431824493
GPBP1	0.948944938	0.621333945	0.841571829	1.685789549	1.553488922	1.818777039
TTC37	0.860508858	1.086471778	0.811201218	1.531426282	1.557220417	1.268235658
SYNJ2BP	0.829176489	0.782161112	0.818847264	1.452591763	1.591375084	1.223343568
PIK3R1	0.663090525	0.620035487	0.718301956	1.354634252	1.610108036	1.251814081
ARL6IP5	0.82141735	0.859713024	0.942094515	1.177393936	1.61366466	1.306414262
NUDT4	0.869964762	0.722194492	0.791285009	1.449628669	1.629858231	1.592110163
VEZT	0.739254251	0.71135035	0.798857494	1.311290552	1.637861558	1.247091745
LIPA	0.964854521	0.743005618	0.777392707	1.359235086	1.642834149	1.357632243
ACVR1B	0.812150966	0.759595877	0.763226395	2.327001894	1.741549828	2.011479477
C16orf45	1.208792437	0.927740573	0.938177582	1.685357032	1.910203933	1.771843465
ANKHD1-EIF4EBP3	0.949552125	1.018064173	1.005967748	1.565397575	1.977182839	1.76847629
SGPL1	0.579196204	0.570027421	0.55008877	2.249545714	2.039954223	2.372050053
TMCO1	1.20309574	1.008026637	1.056305991	1.903952253	2.04128449	2.172739346
IGBP1	1.302097172	0.635582759	0.430237517	2.455895917	2.162775543	2.284820606
MYO1D	1.485972339	1.107519471	0.923753132	1.946841136	2.193529464	1.83579273
RNF141	0.617699378	0.613365367	0.5468452	2.136806474	2.195419677	2.295516539
CLN3	0.875947042	0.599200931	0.652223077	2.684106962	2.265647994	3.140152836
C9orf7	0.823226626	0.708127815	0.754138629	1.864559363	2.300560698	1.436100341
SPOP	1.530010945	1.16867215	0.883446202	1.678005044	2.372676093	1.877141845
PGRMC2	0.732385186	0.867392031	0.803626408	2.211565513	2.444772047	2.155429311
BSCL2	0.800130463	0.702419751	0.833474832	2.618584862	2.639575104	2.501309817
PSEN1	1.033321604	1.048563469	0.890553009	1.605755295	2.650132895	1.913474185
RNF14	0.769441438	0.358880139	0.674636569	2.463970092	2.852059506	2.748868274
DALRD3	0.215731536	0.105063459	0.288907862	0.562451025	0.562451025	0.629052954
